size in Bytes
ID;Name;Size;CRC32;MD5;Serial;#Trusted;Status
"0614";"Razor Freestyle Scooter (USA)";"8388608";"927CE621";"406B08987AB92D73D72B597EC6B11BD9";"NFQE ";0;"Not verified"
"0615";"Re-Volt (Europe) (En,Fr,De,Es)";"12582912";"81D13A11";"FAA64ABB0D222FCC0C6E2515D3805D9F";"NRVP NUS-NRVP-EUR";1;"Trusted"
"0616";"Re-Volt (USA)";"12582912";"FC0C86D0";"3FC4D3187435443455F8355B2D3F8934";"NRVE ";0;"Not verified"
"0617";"Ready 2 Rumble Boxing (Europe) (En,Fr,De)";"33554432";"A69DF7B3";"ADC95AE01855FA305B13F8B22427E597";"NRDP NUS-NRDP-EUR";1;"Trusted"
"0618";"Ready 2 Rumble Boxing (USA)";"33554432";"2A554048";"A42F6F14F7EA10ABEB3B55FFD42EB572";"NRDE ";0;"Not verified"
"0619";"Ready 2 Rumble Boxing - Round 2 (USA)";"33554432";"052A0E04";"DF4446A2B55C4D8D67E9C0C19E0FD9FB";"N22E ";0;"Not verified"
"0620";"Resident Evil 2 (Europe) (En,Fr)";"67108864";"7C8EE011";"B04F298721223A22E1150CEBC712EE6A";"NREP NUS-NREP-EUR";2;"Verified"
"0621";"Resident Evil 2 (USA) (Rev 1)";"67108864";"848FBC0D";"1ADD2C0217662B307CDFD876B35FBF7A";"NREE ";0;"Not verified"
"0622";"Road Rash 64 (Europe)";"33554432";"3C664A7B";"AD922DAE446A301E1AAFE1DFBAD75A2E";"NROP NUS-NROP-EUR";1;"Trusted"
"0623";"Road Rash 64 (USA)";"33554432";"600B3988";"28C2373F6D831EEC81F6146A809E701B";"NROE ";0;"Not verified"
"0624";"Roadsters (Europe) (En,Fr,De,Es,It,Nl)";"12582912";"997ED5AF";"41F67B5C8BB8DAEFFD989123846FC063";"NRRP NUS-NRRP-UKV";1;"Trusted"
"0625";"Roadsters (USA) (En,Fr,Es)";"12582912";"E4337B92";"D3644B398C090528E0ED9EB3C140366E";"NRRE ";0;"Not verified"
"0626";"Robot Poncots 64 - 7tsu no Umi no Caramel (Japan)";"33554432";"3B0F8061";"444F70A655AC89CA900F6FAFAF926B16";"NR7J NUS-NR7J-JPN";1;"Trusted"
"0627";"Robotech - Crystal Dreams (USA) (Proto)";"12582912";"8F5BC48F";"27C6F780F9032A531E9A322969CD9159";" ";0;"Not verified"
"0628";"Robotron 64 (Europe)";"8388608";"23BF4956";"2ABCD1AD41B3356FBC1018ECB121283E";"NRXP NUS-NRXP-EUR";1;"Trusted"
"0629";"Robotron 64 (USA)";"8388608";"B2CBAE58";"5698757883A6F46FE5B4C9B6E780B480";"NRXE ";0;"Not verified"
"0630";"Rocket - Robot on Wheels (Europe) (En,Fr,De)";"12582912";"7DE5D20D";"427C5457D4A29A222811F0CAA9CCA7B9";"NSUP NUS-NSUP-EUR";1;"Trusted"
"0631";"Rocket - Robot on Wheels (USA)";"12582912";"E0399F23";"C2907EB2F9A350793317ECE878A3B8E3";"NSUE ";0;"Not verified"
